income,family_size,utility_bills_paid,loan_defaults,credit_history_years,suspicious_transactions,is_eligible,trust_score
32987,6,0,0,1,2,0,40.0974
38191,8,1,0,2,0,1,79.6382
48266,3,1,0,9,1,1,82.1532
35970,1,0,1,20,4,0,19.194
28232,2,1,0,20,4,1,69.6464
51711,3,1,1,0,4,0,10.3422
51531,10,1,0,2,4,1,43.306200000000004
28870,9,0,1,15,0,0,53.274
70709,6,1,0,11,0,0,100.0
51604,2,1,0,1,2,0,64.82079999999999
64374,3,1,1,20,1,0,69.8748
28270,8,0,0,6,0,0,62.653999999999996
25492,6,1,1,17,3,1,39.5984
24799,4,1,0,1,5,1,26.4598
55811,2,1,1,12,5,0,21.1622
70678,6,0,1,15,2,0,39.6356
54959,2,1,0,13,4,0,57.4918
91496,5,1,0,2,2,0,76.2992
58750,5,1,1,5,5,1,11.25
66077,8,0,0,19,3,0,60.7154
27518,2,1,0,16,5,1,54.5036
40969,1,0,1,1,1,0,15.6938
50932,6,1,1,18,0,1,81.1864
40111,8,1,0,14,0,1,100.0
38047,9,1,1,10,5,1,11.6094
52717,2,0,0,15,4,0,44.0434
93619,2,1,0,14,1,0,100.0
57431,8,0,0,4,0,0,69.4862
42630,8,0,0,11,5,0,21.026
92089,9,1,0,5,5,0,50.9178
42818,6,0,0,6,1,0,55.5636
84752,1,1,0,14,4,0,64.9504
31300,2,1,1,15,4,1,29.759999999999998
73665,10,0,0,10,5,0,25.733
78979,8,1,0,17,5,0,65.2958
43850,3,1,0,3,4,1,40.269999999999996
59862,3,0,0,7,2,0,55.4724
57230,2,1,0,20,4,0,70.446
36406,5,0,0,18,4,0,41.2812
42439,10,1,0,0,0,1,73.4878
95598,5,0,1,19,5,0,12.619599999999998
85278,9,1,0,15,1,0,100.0
73227,5,1,0,1,1,0,78.1454
74476,8,1,0,10,4,0,56.8952
60970,6,1,1,4,2,1,41.194
93616,2,1,0,14,0,0,99.0
78929,4,0,0,1,2,0,48.2858
74805,4,0,0,18,5,0,41.961
44881,3,1,1,15,2,1,53.4762
23037,2,1,1,7,1,1,49.1074
66254,1,0,0,15,4,0,50.7508
81680,5,0,0,13,1,0,74.836
67943,7,1,0,12,0,1,100.0
93638,4,1,0,2,3,0,64.7276
79028,9,1,0,4,0,0,92.8056
68915,6,1,0,6,4,1,55.783
72610,9,0,0,1,1,0,56.022
82094,9,1,0,19,4,0,71.9188
62987,10,1,0,12,4,1,59.5974
97820,6,1,0,15,0,0,100.0
63416,2,1,0,20,0,0,100.0
82205,5,0,0,18,3,0,60.441
88712,10,1,0,7,0,0,100.0
34404,4,0,1,10,3,0,8.8808
74127,4,1,1,1,5,0,3.3254
87984,4,1,1,16,3,0,51.5968
42699,8,1,0,20,5,1,57.5398
99963,8,0,0,8,4,0,40.992599999999996
49473,5,1,0,15,2,1,84.3946
65718,9,1,0,3,4,1,52.6436
91197,7,1,0,4,2,0,69.2394
57700,2,1,1,20,2,0,63.54
48047,4,1,0,4,0,1,89.6094
96917,4,0,0,16,1,0,88.3834
50518,1,0,1,10,5,0,2.0
33178,3,0,0,13,5,0,28.1356
82580,4,1,0,9,5,0,45.016
31725,10,0,0,5,3,0,30.845
24763,7,1,0,9,0,1,83.4526
59110,10,0,0,9,3,0,50.322
91211,9,1,0,16,3,0,81.2422
45272,2,1,0,14,5,1,49.0544
44405,1,1,0,18,5,1,53.881
43002,10,1,1,16,2,1,48.6004
72538,2,0,0,15,2,0,65.0076
20895,5,1,0,14,2,1,75.179
59576,10,0,0,20,2,0,69.9152
28142,2,1,0,5,3,1,58.1284
85866,5,0,0,11,4,0,41.6732
48721,3,1,0,14,5,1,54.7442
68971,7,1,0,7,5,1,48.294200000000004
30730,9,1,0,2,4,1,35.146
28094,9,0,0,5,2,0,46.1188
77912,2,0,1,2,4,0,2.0
27292,8,0,1,14,4,0,1.4584000000000001
93242,8,1,0,12,2,0,81.6484
48560,10,0,0,13,2,0,55.212
90931,1,0,1,1,2,0,20.6862
43590,3,1,0,12,3,1,67.718
69236,2,0,0,3,1,0,61.3472
71518,9,0,0,0,0,0,63.3036
80686,9,1,1,7,1,0,58.6372
65371,3,1,0,3,0,0,92.5742
74950,10,0,0,6,0,0,69.99
97849,1,1,0,7,5,0,45.0698
72725,8,0,0,1,1,0,59.045
57914,4,1,0,7,2,1,69.0828
88321,4,1,0,8,0,0,100.0
97550,3,1,1,1,2,0,46.010000000000005
69958,9,1,1,13,1,1,62.4916
69343,3,1,0,7,2,0,71.3686
80689,1,1,1,17,4,0,38.6378
70910,4,1,0,10,5,0,45.182
78954,6,0,0,1,2,0,48.290800000000004
99294,10,0,0,6,4,0,43.8588
93249,4,1,0,10,2,0,78.6498
47762,4,0,1,7,5,0,4.0
46805,7,0,0,9,3,0,44.861000000000004
89946,6,1,0,11,4,0,66.4892
81080,2,1,0,6,2,0,75.21600000000001
74254,1,0,0,0,2,0,47.8508
96550,10,1,0,4,1,0,85.31
50149,7,0,1,17,5,0,10.5298
64245,5,1,1,14,1,1,63.849000000000004
42185,3,1,0,17,5,1,48.937
88674,1,0,0,0,3,0,34.7348
50334,2,0,0,6,4,0,31.0668
68916,1,1,1,0,0,0,56.7832
92305,7,0,0,16,5,0,41.461
90220,5,0,1,5,0,0,41.544
88732,3,0,0,19,4,0,55.2464
66457,5,1,0,11,3,1,71.7914
94055,4,0,0,2,5,0,26.811
24152,2,1,1,12,4,1,24.8304
27355,1,0,0,15,3,0,52.971000000000004
63420,10,0,0,7,1,0,67.184
82324,5,0,0,8,4,0,42.4648
24312,3,1,0,6,4,1,40.8624
72205,2,1,0,18,1,0,100.0
71007,9,1,1,4,5,0,6.2014
85639,6,0,0,13,1,0,72.62780000000001
64642,10,1,0,0,5,1,31.928399999999996
79054,8,0,0,17,3,0,62.3108
44345,10,1,0,19,2,1,85.369
29634,2,1,0,12,5,1,48.9268
40221,7,1,0,3,0,1,77.5442
60405,8,1,0,3,1,1,72.581
44561,7,1,1,3,0,1,49.4122
66388,9,0,0,12,0,0,80.2776
74238,7,0,0,18,4,0,48.8476
69903,3,0,0,9,2,0,59.4806
39127,2,0,1,8,3,0,8.8254
83469,2,1,0,7,5,0,52.193799999999996
84985,10,0,1,3,1,0,30.497
20887,7,1,1,10,3,1,29.1774
76441,10,0,0,10,4,0,38.2882
82784,6,0,1,10,2,0,36.556799999999996
84357,10,0,0,12,2,0,65.8714
67843,2,0,0,17,0,0,91.0686
47479,8,1,0,13,5,1,50.9958
38242,5,0,0,4,5,0,14.648399999999999
69412,2,1,1,18,3,0,53.882400000000004
86402,7,0,0,17,4,0,57.7804
31138,2,0,0,5,5,0,17.7276
25806,10,1,0,13,0,1,89.6612
32924,5,0,0,14,2,0,58.5848
80694,10,0,0,0,3,0,32.1388
58722,7,0,0,4,2,0,46.7444
64966,8,0,1,11,3,0,15.493200000000002
77431,8,1,0,9,0,0,94.9862
22960,6,0,0,7,4,0,22.092
92339,3,1,1,14,1,0,70.4678
44176,3,1,1,0,5,1,4.0
45863,8,1,1,0,5,1,0.0
46972,5,0,0,17,1,0,74.8944
62727,4,1,0,8,5,1,46.5454
89168,6,1,1,18,0,0,84.8336
66135,8,0,0,19,4,0,47.727000000000004
37556,6,0,0,9,0,0,68.0112
68929,3,1,1,19,1,0,76.2858
70293,7,0,1,20,4,0,29.0586
42706,9,0,1,9,1,0,29.041200000000003
61232,8,0,0,0,3,0,29.2464
45575,7,1,1,15,3,1,43.615
84054,3,0,0,7,2,0,52.3108
56025,4,1,0,14,4,1,64.205
92053,9,0,0,8,4,0,40.4106
91046,1,1,0,13,0,0,100.0
52444,5,0,1,8,2,0,18.488799999999998
77549,2,0,0,18,5,0,42.5098
99988,7,0,0,6,1,0,63.997600000000006
94720,6,1,0,10,5,0,52.944
57923,10,1,0,4,3,1,52.5846
56349,3,0,0,4,5,0,17.2698
52447,7,1,0,18,5,1,56.4894
74293,7,1,0,20,0,0,100.0
87582,5,1,1,15,2,0,64.0164
20324,2,1,0,2,4,1,38.0648
48551,7,0,1,8,2,0,20.7102
64270,9,0,1,10,5,0,0.0
26021,2,1,0,3,1,1,71.7042
79836,1,1,0,4,5,0,40.9672
40837,5,0,0,8,0,0,70.1674
41695,1,1,0,7,3,1,63.839
31953,2,0,0,15,0,0,75.8906
97814,4,1,0,0,5,0,39.562799999999996
35806,7,0,1,2,1,0,21.1612
31708,2,0,0,11,2,0,49.8416
70164,3,0,0,16,4,0,43.0328
99995,3,1,0,6,5,0,45.998999999999995
73963,10,1,0,2,0,0,84.7926
36142,10,1,0,13,2,1,73.7284
52477,5,0,0,17,4,0,49.995400000000004
99638,5,0,0,6,4,0,42.9276
86784,4,1,0,20,0,0,98.0
84865,7,0,0,15,5,0,43.473
29307,9,0,0,10,1,0,61.8614
94498,7,1,0,15,0,0,95.0
96986,2,0,0,6,0,0,73.3972
72163,9,1,1,13,5,0,24.9326
30803,9,0,0,2,2,0,35.1606
87017,4,0,0,12,4,0,50.403400000000005
28665,5,1,0,1,1,1,63.233000000000004
76948,2,1,0,9,5,0,53.8896
43022,2,0,0,0,1,0,50.6044
65443,9,1,0,11,1,1,88.5886
35473,1,1,1,8,4,1,15.0946
54465,10,0,1,14,4,0,11.893
27266,8,0,0,5,2,0,38.9532
95223,2,0,0,1,0,0,68.5446
26026,8,1,1,4,1,1,36.2052
92465,7,0,0,7,3,0,48.992999999999995
55554,2,1,0,16,5,0,50.1108
43507,4,0,1,2,3,0,0.7013999999999996
60723,6,0,1,0,2,0,10.1446
58219,10,1,0,14,2,1,86.6438
84665,4,0,0,0,3,0,31.933
50539,9,1,0,10,0,1,100.0
69319,5,0,0,16,1,0,78.8638
84491,1,0,0,2,0,0,67.8982
88125,7,1,1,2,4,0,16.625
86247,3,1,0,18,4,0,69.24940000000001
77014,3,0,0,8,2,0,58.4028
62762,6,1,0,7,0,1,91.0524
37840,10,0,0,3,1,0,54.068
81086,6,1,0,17,2,0,89.71719999999999
79233,5,1,0,3,0,0,87.3466
59874,10,0,0,10,1,0,62.9748
52534,6,1,0,9,2,1,71.0068
24073,7,1,0,3,3,1,45.3146
38322,2,0,0,7,1,0,56.1644
72505,6,0,0,2,0,0,63.501000000000005
45919,8,0,0,10,0,0,69.1838
80423,1,0,1,12,3,0,19.0846
70165,7,0,0,6,1,0,62.033
56681,8,0,0,19,4,0,53.8362
52215,5,1,1,17,3,1,40.943
31497,5,1,0,13,1,1,90.7994
88919,4,0,1,11,3,0,27.2838
83527,6,1,1,8,1,0,53.7054
61795,10,0,0,8,0,0,76.359
89393,6,0,0,3,1,0,67.3786
51608,5,0,0,18,3,0,57.321600000000004
42768,3,0,0,11,4,0,30.053600000000003
66095,10,0,0,15,4,0,44.719
43010,8,0,0,1,1,0,54.102000000000004
48679,1,1,0,10,4,1,52.7358
37103,6,0,0,1,0,0,55.9206
96888,3,0,0,2,2,0,57.3776
71851,10,0,0,9,2,0,54.8702
40644,7,1,0,5,5,1,38.6288
66769,4,0,1,9,5,0,0.0
36691,3,0,1,18,0,0,51.3382
98956,6,0,0,15,1,0,82.2912
30198,4,1,0,5,5,1,29.5396
64007,8,0,0,6,1,0,57.8014
65938,5,0,0,1,3,0,36.6876
75004,3,1,1,12,2,0,56.0008
69197,2,1,0,5,3,0,57.3394
24379,5,0,0,8,0,0,62.8758
64801,3,1,0,2,4,0,41.9602
64295,10,1,0,13,5,1,49.359
99602,7,0,0,3,2,0,52.4204
44901,7,1,0,9,1,1,78.4802
26505,7,1,0,1,2,1,51.801
76047,2,1,1,6,0,0,59.2094
47125,3,1,0,15,0,1,99.0
72096,8,1,0,2,5,0,40.419200000000004
70793,3,1,1,11,1,0,62.6586
25848,5,1,1,8,1,1,46.1696
93956,1,0,0,2,5,0,21.7912
90968,7,0,0,12,4,0,47.1936
90190,8,0,1,9,0,0,52.538
24551,9,0,0,14,1,0,62.9102
47772,4,0,0,13,0,0,84.0544
77067,4,0,0,10,5,0,26.4134
31406,7,1,0,8,4,1,50.2812
21620,10,1,0,13,1,1,80.824
94264,10,0,0,18,0,0,94.8528
90206,6,1,0,12,5,0,58.0412
94976,10,1,0,5,2,0,77.4952
38855,10,1,0,12,2,1,73.771
26460,8,1,0,0,2,1,54.292
60756,5,1,0,7,1,1,81.6512
78079,6,1,1,19,5,0,30.1158
44633,8,0,1,15,4,0,11.4266
27367,9,0,0,9,5,0,21.973399999999998
72872,3,0,0,6,1,0,58.5744
52701,1,1,0,11,5,0,45.0402
55910,6,1,1,20,0,1,86.182
24005,4,1,1,19,3,1,40.301
82204,10,1,0,5,2,0,69.9408
57364,1,1,0,5,4,0,46.9728
49012,4,0,0,20,3,0,62.8024
22628,1,1,0,20,1,1,98.5256
21109,4,1,0,20,2,1,85.2218
69345,6,1,0,6,3,1,61.869
88241,10,1,0,0,4,0,52.6482
69051,9,1,0,3,3,1,54.3102
64077,5,1,0,8,5,1,49.8154
59163,4,0,0,1,4,0,24.3326
61888,3,0,1,9,2,0,26.8776
73031,7,0,0,10,5,0,27.6062
90075,8,1,0,5,5,0,48.515
43741,5,0,1,4,5,0,0.0
93273,3,1,0,7,2,0,77.1546
60250,7,1,0,8,4,1,53.05
80786,2,1,0,20,4,0,80.1572
29334,8,0,0,12,4,0,32.8668
74146,1,0,0,6,2,0,54.8292
94632,8,0,0,5,0,0,78.4264
63598,3,1,0,0,3,0,51.7196
47444,3,0,1,2,1,0,26.488799999999998
76847,7,1,1,15,3,0,42.8694
24944,9,0,0,0,2,0,37.9888
44979,1,0,0,7,5,0,19.4958
60906,3,0,1,16,4,0,15.1812
41891,2,0,0,9,3,0,44.8782
98167,9,1,1,4,2,0,47.6334
67087,4,0,1,0,1,0,21.4174
37197,4,0,0,3,2,0,46.9394
24897,7,1,0,19,0,1,100.0
34170,1,0,0,13,3,0,47.334
36199,9,1,1,4,1,1,48.2398
21219,5,1,0,16,2,1,82.2438
99381,3,1,0,16,5,0,67.8762
35431,5,0,0,15,1,0,73.5862
46181,5,0,0,13,2,0,55.7362
25164,9,1,0,15,2,1,75.5328
20358,1,0,0,18,5,0,33.071600000000004
39548,2,0,0,8,5,0,17.9096
79867,5,1,1,1,0,0,54.4734
25170,5,1,0,13,5,1,40.534
32451,1,0,0,20,1,0,76.4902
66861,8,1,0,11,2,1,76.87219999999999
34920,7,1,1,8,3,1,30.984
75278,3,0,0,1,1,0,52.5556
74529,10,1,1,5,4,0,23.4058
67002,10,0,0,15,3,0,51.9004
73907,8,0,0,8,5,0,26.781399999999998
21620,9,0,0,16,4,0,42.324
32483,7,0,1,11,5,0,5.0
70446,3,0,0,20,1,0,87.0892
81510,8,0,0,15,2,0,66.80199999999999
63371,5,0,0,17,5,0,39.1742
72858,4,0,1,14,4,0,17.5716
31536,8,1,0,3,3,1,55.8072
22329,2,1,1,1,4,1,8.9658
20022,2,1,0,20,5,1,56.004400000000004
64676,6,0,0,14,2,0,66.93520000000001
98636,8,1,1,3,0,0,69.2272
49064,1,1,0,20,2,1,92.8128
88417,6,0,0,5,3,0,42.1834
73636,2,1,0,6,0,0,94.7272
48257,8,0,0,3,3,0,29.151400000000002
97176,2,1,1,18,4,0,43.435199999999995
85382,1,0,1,18,3,0,37.0764
43226,10,0,0,3,3,0,38.1452
98714,10,1,1,13,4,0,37.2428
55860,7,1,0,14,1,1,89.172
74099,10,1,0,17,5,0,58.3198
46330,4,1,0,4,5,1,40.266
43306,9,1,0,11,4,1,57.1612
96389,10,1,0,13,0,0,100.0
33955,1,1,0,1,5,1,23.291
46201,5,0,0,8,1,0,56.2402
58684,4,0,0,14,0,0,86.7368
93647,4,1,0,16,5,0,61.7294
26157,7,1,1,10,4,1,15.2314
21699,5,0,1,7,5,0,5.0
68200,10,0,0,9,3,0,44.14
29760,3,0,0,12,0,0,74.952
56583,9,1,0,5,4,1,47.8166
20739,6,1,0,1,1,1,65.6478
98234,1,1,1,18,4,0,46.6468
29552,6,0,0,16,0,0,82.9104
40889,7,1,0,11,1,1,82.6778
63500,6,1,0,6,4,1,54.7
82240,9,0,0,11,3,0,50.948
51958,1,1,1,3,3,0,23.8916
90809,5,0,0,16,4,0,54.1618
83806,1,1,0,10,4,0,57.7612
32577,3,0,0,6,5,0,20.5154
47941,7,0,0,17,5,0,36.0882
29452,3,0,1,10,0,0,36.8904
29600,1,0,0,17,0,0,85.42
49837,5,1,1,14,5,1,21.967399999999998
76757,6,0,1,3,4,0,0.0
28288,10,0,0,11,4,0,28.157600000000002
57989,5,0,0,14,3,0,53.5978
24039,8,0,0,4,5,0,11.8078
91529,5,0,0,20,2,0,73.3058
92551,9,0,0,1,0,0,74.0102
98204,7,0,0,6,5,0,28.6408
47752,7,0,0,5,1,0,61.050399999999996
53127,4,0,0,18,0,0,90.6254
80458,9,0,0,2,2,0,45.0916
45875,10,1,0,11,1,1,90.675
50740,2,1,0,6,2,0,71.148
79067,6,1,0,18,4,0,72.8134
61462,7,0,0,10,1,0,65.2924
77163,5,1,0,10,3,0,72.43260000000001
78373,6,1,1,17,0,0,78.1746
99511,2,1,0,17,1,0,99.0
30022,2,0,0,18,4,0,44.004400000000004
97337,4,0,0,17,4,0,56.9674
39481,6,1,0,18,5,1,53.8962
37548,8,0,1,11,4,0,0.0
51310,10,0,0,14,1,0,68.262
94233,10,0,1,11,0,0,53.346599999999995
83916,4,0,0,11,1,0,68.2832
47102,9,1,1,15,3,1,36.9204
25230,6,0,0,8,4,0,30.046
94732,3,1,1,11,4,0,40.4464
30202,9,1,1,7,4,1,17.540399999999998
66255,6,1,1,19,0,1,84.751
38214,8,0,0,2,4,0,25.6428
56806,4,0,0,5,2,0,52.8612
35509,4,1,0,3,3,1,56.6018
82759,8,0,0,20,3,0,61.5518
51938,1,0,0,4,5,0,19.3876
25136,10,0,0,5,2,0,39.5272
87717,7,0,0,2,1,0,62.5434
99498,8,1,0,7,3,0,74.39959999999999
38705,10,0,0,5,5,0,20.241
64914,8,0,0,12,3,0,47.9828
34230,1,0,1,4,4,0,0.0
43255,8,0,0,2,3,0,36.650999999999996
37082,10,0,1,16,3,0,21.4164
